Aeroplane Самолет
Bee Пчела
Butterfly Бабочка
Catch Ловить
Classroom Класс
Computer Компьютер
Desk Парта
Eight Восемь
Farmer Фермер
Flower Цветок
Four Четыре
Ghost Привидение
Guitar Гитара
Horse Лошадь
Jewellery Ювелирные_Изделия
Kitten Котенок
Lion Лев
Mouth Рот
Nose Нос
Phone Телефон
Policeman Полицейский
Pupil Ученик
Recorder Записывающее_Устройство
Sad Печальный
Shine Сиять,Светить
Silver Серебро,Серебряный
Snow Снег
Stable Конюшня
Sweets Сладости
Thirteen Тринадцать
Tomato Помидор
Umbrella Зонт
Wear Одежда
Worm Червь
