Angry Сердитый
Bike Велосипед
Cake Торт
Cheese Сыр
Clever Умный
Cottage Коттедж
Dirty Грязный
Eighteen Восемнадцать
Fifteen Пятнадцать
Follow Следовать
Fourteen Четырнадцать
Glasses Очки
Heavy Тяжелый
Hurt Причинить_Боль
Juice Сок
Lamp Лампа
Lollipop Леденец
Mum Мама
Notebook Тетрадь
Piano Пианино
Poor Бедный
Puppet Кукольный
Rectangle Прямоугольник
Schoolbag Портфель
Shiny Солнечный
Six Шесть
Socks Носки
Stamp Марка,Печать
Swim Плавать
Thirty Тридцать
T-Shirt Футболка
Vegetable Овощ
Wet Мокрый
